script,avg_energy_uj,avg_runtime_s,LOC,CC_total,CC_avg,CC_max,halstead_volume,maintainability_index,code_smells,avg_energy_uj_pct_change,avg_runtime_s_pct_change,LOC_pct_change,CC_total_pct_change,CC_avg_pct_change,CC_max_pct_change,halstead_volume_pct_change,maintainability_index_pct_change,code_smells_pct_change
avl_tree.py,2623467.4,0.2362060967949219,91,27,3.0,7,222.91,37.19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_clean_avl_tree.py,2584197.8,0.2343755655921995,90,28,2.33,5,230.62,37.06,1,-1.5,-0.77,-1.1,3.7,-22.33,-28.57,3.46,-0.35,0.0
deepseek_green_avl_tree.py,2551665.6,0.2375772233994212,95,27,3.0,5,203.56,37.06,1,-2.74,0.58,4.4,0.0,0.0,-28.57,-8.68,-0.35,0.0
deepseek_multi_avl_tree.py,2485821.4,0.2361416352039668,81,25,2.78,5,213.97,38.69,1,-5.25,-0.03,-10.99,-7.41,-7.33,-28.57,-4.01,4.03,0.0
deepseek_stagedcg_avl_tree.py,2505425.8,0.2360396083968226,89,25,2.5,4,202.12,37.97,1,-4.5,-0.07,-2.2,-7.41,-16.67,-42.86,-9.33,2.1,0.0
deepseek_stagedgc_avl_tree.py,2469268.8,0.2359549581946339,84,22,2.0,4,220.81,38.65,1,-5.88,-0.11,-7.69,-18.52,-33.33,-42.86,-0.94,3.93,0.0
gpt-5.4_stagedcg_avl_tree.py,2526934.4,0.235517037595855,121,31,2.58,7,356.12,32.53,2,-3.68,-0.29,32.97,14.81,-14.0,0.0,59.76,-12.53,100.0
gpt_clean_avl_tree.py,2480364.4,0.2349352277989965,90,25,1.92,4,220.81,37.59,1,-5.45,-0.54,-1.1,-7.41,-36.0,-42.86,-0.94,1.08,0.0
gpt_green_avl_tree.py,2540582.0,0.233488510781899,117,28,2.55,7,317.07,33.61,1,-3.16,-1.15,28.57,3.7,-15.0,0.0,42.24,-9.63,0.0
gpt_multi_avl_tree.py,2478411.4,0.2377754188026301,96,25,2.5,5,289.99,36.15,1,-5.53,0.66,5.49,-7.41,-16.67,-28.57,30.09,-2.8,0.0
gpt_stagedgc_avl_tree.py,2517181.0,0.2413768127793446,118,30,2.14,6,295.0,33.48,1,-4.05,2.19,29.67,11.11,-28.67,-14.29,32.34,-9.98,0.0
llama_clean_avl_tree.py,2472003.0,0.2362353538046591,76,21,1.91,5,181.11,40.34,3,-5.77,0.01,-16.48,-22.22,-36.33,-28.57,-18.75,8.47,200.0
llama_green_avl_tree.py,,,95,33,3.3,7,262.33,35.48,2,,,4.4,22.22,10.0,0.0,17.68,-4.6,100.0
llama_multi_avl_tree.py,2497063.8,0.2353709118207916,69,23,2.3,11,361.89,38.88,2,-4.82,-0.35,-24.18,-14.81,-23.33,57.14,62.35,4.54,100.0
